  # energy grid [eV]   photospectra spin_up [ab.]   photospectra spin_dw [ab.] 
  16.0767946578   0.1239806271   0.0265706280
  16.1268781302   0.1188186712   0.0261344475
  16.1769616027   0.1152242311   0.0257843443
  16.2270450751   0.1131081985   0.0255193067
  16.2771285476   0.1124447117   0.0253394620
  16.3272120200   0.1132702277   0.0252461139
  16.3772954925   0.1156861735   0.0252418145
  16.4273789649   0.1198645844   0.0253304753
  16.4774624374   0.1260552579   0.0255175238
  16.5275459098   0.1345907714   0.0258101151
  16.5776293823   0.1458809130   0.0262174095
  16.6277128548   0.1603784212   0.0267509333
  16.6777963272   0.1784808926   0.0274250450
  16.7278797997   0.2003106023   0.0282575351
  16.7779632721   0.2253045497   0.0292703990
  16.8280467446   0.2516193458   0.0304908347
  16.8781302170   0.2756299925   0.0319525345
  16.9282136895   0.2922530774   0.0336973606
  16.9782971619   0.2968030032   0.0357775261
  17.0283806344   0.2876579114   0.0382584347
  17.0784641068   0.2673492566   0.0412223734
  17.1285475793   0.2408865533   0.0447732876
  17.1786310518   0.2131016197   0.0490428767
  17.2287145242   0.1871669864   0.0541981732
  17.2787979967   0.1645502322   0.0604504953
  17.3288814691   0.1455860419   0.0680649022
  17.3789649416   0.1300376199   0.0773675023
  17.4290484140   0.1174564658   0.0887440578
  17.4791318865   0.1073664532   0.1026154914
  17.5292153589   0.0993413520   0.1193618681
  17.5792988314   0.0930284815   0.1391466867
  17.6293823038   0.0881487718   0.1615823686
  17.6794657763   0.0844883420   0.1852289730
  17.7295492487   0.0818883979   0.2071333362
  17.7796327212   0.0802361911   0.2230017492
  17.8297161937   0.0794579424   0.2286631207
  17.8797996661   0.0795138933   0.2223736322
  17.9298831386   0.0803953973   0.2059817139
  17.9799666110   0.0821239427   0.1836964419
  18.0300500835   0.0847520600   0.1597840007
  18.0801335559   0.0883661646   0.1371471783
  18.1302170284   0.0930914822   0.1171843788
  18.1803005008   0.0990992599   0.1002586470
  18.2303839733   0.1066164076   0.0861951897
  18.2804674457   0.1159373892   0.0746102429
  18.3305509182   0.1274372297   0.0650827524
  18.3806343907   0.1415822430   0.0572281604
  18.4307178631   0.1589301797   0.0507218365
  18.4808013356   0.1801019408   0.0453000349
  18.5308848080   0.2056910198   0.0407524469
  18.5809682805   0.2360582612   0.0369127310
  18.6310517529   0.2709633863   0.0336495949
  18.6811352254   0.3090811053   0.0308592597
  18.7312186978   0.3477223519   0.0284594069
  18.7813021703   0.3833769841   0.0263844388
  18.8313856427   0.4133057422   0.0245818125
  18.8814691152   0.4369505281   0.0230092216
  18.9315525876   0.4552566207   0.0216324311
  18.9816360601   0.4680886953   0.0204236126
  19.0317195326   0.4724183585   0.0193600622
  19.0818030050   0.4635969528   0.0184232091
  19.1318864775   0.4390988599   0.0175978484
  19.1819699499   0.4011908708   0.0168715470
  19.2320534224   0.3558324956   0.0162341833
  19.2821368948   0.3093619796   0.0156775942
  19.3322203673   0.2661666811   0.0151953073
  19.3823038397   0.2283164872   0.0147823434
  19.4323873122   0.1962442653   0.0144350795
  19.4824707846   0.1695291676   0.0141511651
  19.5325542571   0.1474279970   0.0139294887
  19.5826377295   0.1291548247   0.0137701940
  19.6327212020   0.1140002885   0.0136747496
  19.6828046745   0.1013677758   0.0136460775
  19.7328881469   0.0907725750   0.0136887529
  19.7829716194   0.0818274082   0.0138092889
  19.8330550918   0.0742249673   0.0140165297
  19.8831385643   0.0677216993   0.0143221808
  19.9332220367   0.0621241750   0.0147415157
  19.9833055092   0.0572781510   0.0152943052
  20.0333889816   0.0530599977   0.0160060247
  20.0834724541   0.0493700568   0.0169093898
  20.1335559265   0.0461275155   0.0180462359
  20.1836393990   0.0432664554   0.0194696608
  20.2337228715   0.0407327976   0.0212460841
  20.2838063439   0.0384819345   0.0234562985
  20.3338898164   0.0364768848   0.0261933430
  20.3839732888   0.0346868490   0.0295526482
  20.4340567613   0.0330860735   0.0336059725
  20.4841402337   0.0316529524   0.0383462088
  20.5342237062   0.0303693145   0.0435916526
  20.5843071786   0.0292198548   0.0488637734
  20.6343906511   0.0281916804   0.0533238615
  20.6844741235   0.0272739463   0.0559341118
  20.7345575960   0.0264575647   0.0559200895
  20.7846410684   0.0257349727   0.0532497656
  20.8347245409   0.0250999479   0.0486552035
  20.8848080134   0.0245474656   0.0431729090
  20.9348914858   0.0240735894   0.0376651203
  20.9849749583   0.0236753924   0.0326359212
  21.0350584307   0.0233509056   0.0282841436
  21.0851419032   0.0230990919   0.0246253363
  21.1352253756   0.0229198450   0.0215905082
  21.1853088481   0.0228140136   0.0190840384
  21.2353923205   0.0227834537   0.0170114050
  21.2854757930   0.0228311105   0.0152898846
  21.3355592654   0.0229611354   0.0138510463
  21.3856427379   0.0231790454   0.0126398310
  21.4357262104   0.0234919317   0.0116125104
  21.4858096828   0.0239087320   0.0107345204
  21.5358931553   0.0244405811   0.0099785404
  21.5859766277   0.0251012613   0.0093229125
  21.6360601002   0.0259077822   0.0087503894
  21.6861435726   0.0268811264   0.0082471593
  21.7362270451   0.0280472124   0.0078020945
  21.7863105175   0.0294381402   0.0074061725
  21.8363939900   0.0310938081   0.0070520311
  21.8864774624   0.0330640105   0.0067336246
  21.9365609349   0.0354111596   0.0064459578
  21.9866444073   0.0382137937   0.0061848785
  22.0367278798   0.0415710445   0.0059469152
  22.0868113523   0.0456081757   0.0057291492
  22.1368948247   0.0504831081   0.0055291136
  22.1869782972   0.0563932927   0.0053447124
  22.2370617696   0.0635810222   0.0051741563
  22.2871452421   0.0723325366   0.0050159104
  22.3372287145   0.0829609920   0.0048686523
  22.3873121870   0.0957546034   0.0047312375
  22.4373956594   0.1108612688   0.0046026717
  22.4874791319   0.1280834317   0.0044820877
  22.5375626043   0.1466084036   0.0043687260
  22.5876460768   0.1648377857   0.0042619194
  22.6377295492   0.1806117408   0.0041610794
  22.6878130217   0.1919063854   0.0040656858
  22.7378964942   0.1974535939   0.0039752764
  22.7879799666   0.1966900152   0.0038894401
  22.8380634391   0.1894854349   0.0038078100
  22.8881469115   0.1764207873   0.0037300573
  22.9382303840   0.1591735045   0.0036558872
  22.9883138564   0.1401232225   0.0035850341
  23.0383973289   0.1214357360   0.0035172584
  23.0884808013   0.1044798967   0.0034523437
  23.1385642738   0.0898200243   0.0033900936
  23.1886477462   0.0774880230   0.0033303295
  23.2387312187   0.0672545290   0.0032728893
  23.2888146912   0.0588038571   0.0032176246
  23.3388981636   0.0518225726   0.0031643999
  23.3889816361   0.0460351024   0.0031130914
  23.4390651085   0.0412126284   0.0030635850
  23.4891485810   0.0371704897   0.0030157761
  23.5392320534   0.0337616791   0.0029695683
  23.5893155259   0.0308697943   0.0029248727
  23.6393989983   0.0284027278   0.0028816072
  23.6894824708   0.0262874535   0.0028396957
  23.7395659432   0.0244658805   0.0027990677
  23.7896494157   0.0228916235   0.0027596579
  23.8397328881   0.0215275101   0.0027214055
  23.8898163606   0.0203436685   0.0026842538
  23.9398998331   0.0193160610   0.0026481501
  23.9899833055   0.0184253641   0.0026130452
  24.0400667780   0.0176561142   0.0025788930
  24.0901502504   0.0169960604   0.0025456505
  24.1402337229   0.0164356831   0.0025132774
  24.1903171953   0.0159678444   0.0024817358
  24.2404006678   0.0155875513   0.0024509902
  24.2904841402   0.0152918157   0.0024210073
  24.3405676127   0.0150796075   0.0023917556
  24.3906510851   0.0149518967   0.0023632055
  24.4407345576   0.0149117947   0.0023353292
  24.4908180301   0.0149648031   0.0023081003
  24.5409015025   0.0151191955   0.0022814939
  24.5909849750   0.0153865572   0.0022554865
  24.6410684474   0.0157825271   0.0022300558
  24.6911519199   0.0163277864   0.0022051808
  24.7412353923   0.0170493532   0.0021808415
  24.7913188648   0.0179822233   0.0021570188
  24.8414023372   0.0191713608   0.0021336948
  24.8914858097   0.0206738975   0.0021108523
  24.9415692821   0.0225610769   0.0020884752
  24.9916527546   0.0249187361   0.0020665477
  25.0417362270   0.0278435971   0.0020450553
  25.0918196995   0.0314298022   0.0020239838
  25.1419031720   0.0357357438   0.0020033198
  25.1919866444   0.0407173152   0.0019830505
  25.2420701169   0.0461194500   0.0019631637
  25.2921535893   0.0513548804   0.0019436476
  25.3422370618   0.0554831843   0.0019244910
  25.3923205342   0.0574617261   0.0019056834
  25.4424040067   0.0566683541   0.0018872143
  25.4924874791   0.0533041822   0.0018690741
  25.5425709516   0.0482564534   0.0018512532
  25.5926544240   0.0425723847   0.0018337427
  25.6427378965   0.0370383732   0.0018165339
  25.6928213689   0.0320737589   0.0017996185
  25.7429048414   0.0278187938   0.0017829884
  25.7929883139   0.0242579144   0.0017666361
  25.8430717863   0.0213090842   0.0017505541
  25.8931552588   0.0188731411   0.0017347354
  25.9432387312   0.0168562381   0.0017191730
  25.9933222037   0.0151778155   0.0017038604
  26.0434056761   0.0137718594   0.0016887913
  26.0934891486   0.0125854944   0.0016739595
  26.1435726210   0.0115768029   0.0016593592
  26.1936560935   0.0107126606   0.0016449846
  26.2437395659   0.0099668664   0.0016308303
  26.2938230384   0.0093186241   0.0016168910
  26.3439065109   0.0087513456   0.0016031616
  26.3939899833   0.0082517238   0.0015896371
