  # energy grid [eV]   photospectra spin_up [ab.]   photospectra spin_dw [ab.] 
  19.6327212020   0.0136747496   0.0136747496
  19.6828046745   0.0136460775   0.0136460775
  19.7328881469   0.0136887529   0.0136887529
  19.7829716194   0.0138092889   0.0138092889
  19.8330550918   0.0140165296   0.0140165297
  19.8831385643   0.0143221807   0.0143221808
  19.9332220367   0.0147415155   0.0147415157
  19.9833055092   0.0152943050   0.0152943052
  20.0333889816   0.0160060244   0.0160060247
  20.0834724541   0.0169093894   0.0169093898
  20.1335559265   0.0180462355   0.0180462359
  20.1836393990   0.0194696602   0.0194696608
  20.2337228715   0.0212460833   0.0212460841
  20.2838063439   0.0234562975   0.0234562985
  20.3338898164   0.0261933418   0.0261933430
  20.3839732888   0.0295526467   0.0295526482
  20.4340567613   0.0336059708   0.0336059725
  20.4841402337   0.0383462069   0.0383462088
  20.5342237062   0.0435916505   0.0435916526
  20.5843071786   0.0488637715   0.0488637734
  20.6343906511   0.0533238601   0.0533238615
  20.6844741235   0.0559341114   0.0559341118
  20.7345575960   0.0559200903   0.0559200895
  20.7846410684   0.0532497672   0.0532497656
  20.8347245409   0.0486552057   0.0486552035
  20.8848080134   0.0431729114   0.0431729090
  20.9348914858   0.0376651226   0.0376651203
  20.9849749583   0.0326359232   0.0326359212
  21.0350584307   0.0282841453   0.0282841436
  21.0851419032   0.0246253377   0.0246253363
  21.1352253756   0.0215905094   0.0215905082
  21.1853088481   0.0190840393   0.0190840384
  21.2353923205   0.0170114058   0.0170114050
  21.2854757930   0.0152898852   0.0152898846
  21.3355592654   0.0138510469   0.0138510463
  21.3856427379   0.0126398315   0.0126398310
  21.4357262104   0.0116125108   0.0116125104
  21.4858096828   0.0107345207   0.0107345204
  21.5358931553   0.0099785407   0.0099785404
  21.5859766277   0.0093229127   0.0093229125
  21.6360601002   0.0087503896   0.0087503894
  21.6861435726   0.0082471595   0.0082471593
  21.7362270451   0.0078020947   0.0078020945
  21.7863105175   0.0074061727   0.0074061725
  21.8363939900   0.0070520312   0.0070520311
  21.8864774624   0.0067336247   0.0067336246
  21.9365609349   0.0064459579   0.0064459578
  21.9866444073   0.0061848786   0.0061848785
  22.0367278798   0.0059469153   0.0059469152
  22.0868113523   0.0057291493   0.0057291492
  22.1368948247   0.0055291137   0.0055291136
  22.1869782972   0.0053447125   0.0053447124
  22.2370617696   0.0051741564   0.0051741563
  22.2871452421   0.0050159105   0.0050159104
  22.3372287145   0.0048686523   0.0048686523
  22.3873121870   0.0047312375   0.0047312375
  22.4373956594   0.0046026717   0.0046026717
  22.4874791319   0.0044820877   0.0044820877
  22.5375626043   0.0043687260   0.0043687260
  22.5876460768   0.0042619194   0.0042619194
  22.6377295492   0.0041610795   0.0041610794
  22.6878130217   0.0040656858   0.0040656858
  22.7378964942   0.0039752764   0.0039752764
  22.7879799666   0.0038894402   0.0038894401
  22.8380634391   0.0038078100   0.0038078100
  22.8881469115   0.0037300574   0.0037300573
  22.9382303840   0.0036558872   0.0036558872
  22.9883138564   0.0035850341   0.0035850341
  23.0383973289   0.0035172585   0.0035172584
  23.0884808013   0.0034523437   0.0034523437
  23.1385642738   0.0033900936   0.0033900936
  23.1886477462   0.0033303296   0.0033303295
  23.2387312187   0.0032728893   0.0032728893
  23.2888146912   0.0032176246   0.0032176246
  23.3388981636   0.0031644000   0.0031643999
  23.3889816361   0.0031130914   0.0031130914
  23.4390651085   0.0030635850   0.0030635850
  23.4891485810   0.0030157761   0.0030157761
  23.5392320534   0.0029695683   0.0029695683
  23.5893155259   0.0029248727   0.0029248727
  23.6393989983   0.0028816072   0.0028816072
  23.6894824708   0.0028396957   0.0028396957
  23.7395659432   0.0027990677   0.0027990677
  23.7896494157   0.0027596580   0.0027596579
  23.8397328881   0.0027214055   0.0027214055
  23.8898163606   0.0026842538   0.0026842538
  23.9398998331   0.0026481501   0.0026481501
  23.9899833055   0.0026130452   0.0026130452
  24.0400667780   0.0025788930   0.0025788930
  24.0901502504   0.0025456505   0.0025456505
  24.1402337229   0.0025132774   0.0025132774
  24.1903171953   0.0024817358   0.0024817358
  24.2404006678   0.0024509902   0.0024509902
  24.2904841402   0.0024210073   0.0024210073
  24.3405676127   0.0023917556   0.0023917556
  24.3906510851   0.0023632055   0.0023632055
  24.4407345576   0.0023353292   0.0023353292
  24.4908180301   0.0023081003   0.0023081003
  24.5409015025   0.0022814939   0.0022814939
  24.5909849750   0.0022554865   0.0022554865
  24.6410684474   0.0022300558   0.0022300558
  24.6911519199   0.0022051808   0.0022051808
  24.7412353923   0.0021808415   0.0021808415
  24.7913188648   0.0021570188   0.0021570188
  24.8414023372   0.0021336948   0.0021336948
  24.8914858097   0.0021108523   0.0021108523
  24.9415692821   0.0020884752   0.0020884752
  24.9916527546   0.0020665477   0.0020665477
  25.0417362270   0.0020450553   0.0020450553
  25.0918196995   0.0020239838   0.0020239838
  25.1419031720   0.0020033198   0.0020033198
  25.1919866444   0.0019830505   0.0019830505
  25.2420701169   0.0019631637   0.0019631637
  25.2921535893   0.0019436476   0.0019436476
  25.3422370618   0.0019244910   0.0019244910
  25.3923205342   0.0019056834   0.0019056834
  25.4424040067   0.0018872143   0.0018872143
  25.4924874791   0.0018690741   0.0018690741
  25.5425709516   0.0018512532   0.0018512532
  25.5926544240   0.0018337427   0.0018337427
  25.6427378965   0.0018165339   0.0018165339
  25.6928213689   0.0017996185   0.0017996185
  25.7429048414   0.0017829884   0.0017829884
  25.7929883139   0.0017666361   0.0017666361
  25.8430717863   0.0017505541   0.0017505541
  25.8931552588   0.0017347354   0.0017347354
  25.9432387312   0.0017191730   0.0017191730
  25.9933222037   0.0017038604   0.0017038604
  26.0434056761   0.0016887913   0.0016887913
  26.0934891486   0.0016739595   0.0016739595
  26.1435726210   0.0016593592   0.0016593592
  26.1936560935   0.0016449846   0.0016449846
  26.2437395659   0.0016308303   0.0016308303
  26.2938230384   0.0016168910   0.0016168910
  26.3439065109   0.0016031616   0.0016031616
  26.3939899833   0.0015896371   0.0015896371
  26.4440734558   0.0015763127   0.0015763127
  26.4941569282   0.0015631838   0.0015631838
  26.5442404007   0.0015502460   0.0015502460
  26.5943238731   0.0015374949   0.0015374949
  26.6444073456   0.0015249263   0.0015249263
  26.6944908180   0.0015125363   0.0015125363
  26.7445742905   0.0015003208   0.0015003208
  26.7946577629   0.0014882760   0.0014882760
  26.8447412354   0.0014763984   0.0014763984
  26.8948247078   0.0014646842   0.0014646842
  26.9449081803   0.0014531301   0.0014531301
